id,eventslug,eventType,eventName,deptName,desc,rules,content,url
37,actingworkshop,Solo,Acting Workshop,Workshops,"Join in for our acting workshop to learn the tips, tricks and get some insider information about acting and dramatics from professional acting coaches coming in to teach you the fine line between good and bad acting.",,,
36,fitnessworkshop,Solo,Fitness Workshop,Workshops,Let’s just all nod and agree that we all tried our hand at fitness during the quarantine period. Join us at the fitness workshop and let the experts debunk common myths and misconceptions and give you some really nice tips for getting in shape faster and quicker.,,,
35,danceworkshop,Solo,Dance Workshop,Workshops,Want to dance your way out of stress but do not want to leave your house with the dance workshop we bring dance right to you. With professional dancers coming for the workshop you would never be able to dance anything like this ever again.,,,
34,influentialtrends,Solo,Influential Trends Workshop,Workshops,Love following trends on Instagram? Are you the first in your friend group to know about the latest new trends in the fashion industry the influential trends workshop is the right choice for you with fashion influencers coming in to teach you about the latest trends and possible future trends you might just get inspired to create a fashion account of your own.,,,
33,standupworkshop,Solo,Stand Up Workshop,Workshops,"Feel like the comedian in your group, have a sense of humor so witty it would put Chandler Bing to shame? Don't worry we got you. The stand-up comedy workshop will sharpen your skills just right so that the next time you tell a story you could put Kenny Sebastian to shame.",,,
32,solosinging,Solo,Solo Singing,PA,"Sing it solo, sing it loud, ease your vocals and freeze the crowd. Set the tone by practising your pitch, clear your vocal chords and start to sing. Sattva'21 presents solo singing competition, where those gifted with melody in their voices can make their mark!","No vulgar lyrics will be allowed. Choice of Language – Hindi/English only. Back Tracking of sound is allowed. No use of autotune is allowed. Usage of instrument is allowed but you will be judged on the basis of your singing only.  Judge’s decision will be final. Performance time – 2-4 mins. While shooting, the video should be a one-shot video without any cuts. The participant should be visible in the camera frame throughout the video. Video editing is not allowed.
Visual setting is not important. The video should be sent to the Performing Arts team before the deadline. No excuses will be entertained.",nan,https://script.google.com/macros/s/AKfycbzJAzxfrFCIqaqFoOItm5L0cEdDnXiDyjHZcQUcdnhKU1TaHQRT/exec
31,groupsinging,Group,Group Singing,PA,"Think you can woo us with your tunes? Then show us your talent in our, one of a kind, Group Singing event and make us groove to your music!",Minimum one vocalist (singer). No vulgar lyrics will be allowed. Choice of Language – Hindi/English only. Back Tracking of sound is not allowed. Usage of instruments is allowed. Judge’s decision will be final. Performance time – 3-6 mins. Number of participants – 3-9 people. The video of all the participants should be compiled in one frame and the edited video should be sent to the Performing Arts team before the deadline. No excuses will be entertained.,nan,
30,poetry,Solo,Poetry,PA,"Bring out the words that are hidden inside you and show the world who you are!
Team Sattva welcomes you to participate and showcase the rhythm and feel of your words in the Poetry Competition. Let loose your feelings into a poem by weaving it with beautiful words!","Use of abusive language and actions is strictly prohibited. Participants can have prop of their own choice. Choice of Language – Hindi/English only. Judge’s decision will be final. Content should be original. Performance time – 1-4 mins. While shooting, the video should be a one-shot video without any cuts. The participant should be visible in the camera frame throughout the video. The video should be sent to the Performing Arts team before the deadline. No excuses will be entertained.",nan,https://script.google.com/macros/s/AKfycbz00VYCgXeLxwHo6Y67F_VFjXrZQ_SJKvUbUv2MKCe0GOyf3rc/exec
29,monoact,Solo,Mono Act,PA,"Tired of online lectures or working from home? Is the actor in you screaming for a vent; a stage?Time to showcase your passion out to the world and prove that you are the biggest dramebaaz! 
Team Sattva brings to you the monoact competition.","Vulgarity, Obscenity and offensive gestures/props are strictly prohibited. No originality criteria
Choice of Language – Hindi/English only. Participants can have prop of their own choice
No specific topic. Judge’s decision will be final. Performance time – 2-5 mins. While shooting, the video should be a one-shot video without any cuts. The participant should be visible in the camera frame throughout the video. The video should be sent to the Performing Arts team before the deadline. No excuses will be entertained.",nan,https://script.google.com/macros/s/AKfycbwLXR9VzsJ3NdXMfT68kmeP5ISTWDEOiiBgoOZ_pRnGVGrJXZQ/exec
28,beatboxing,Solo,Beat Boxing,PA,Crafting the sounds with their mouths and creating extraordinary sounds is the definition of beatboxing. So come and compete with the best of the best.,"Use of abusive language and actions is strictly prohibited. No usage of instruments is permitted. Only sounds made by human anatomy is permitted. All recording methods are allowed. Audio processing cannot be automated (cannot change over time, whole audio must be processed the same way). No looping is allowed. Participants can use their mic. Judge’s decision will be final. Performance time – 1-2 mins. While shooting, the video should be a one-shot video without any cuts. The participant should be visible in the camera frame throughout the video. The video should be sent to the Performing Arts team before the deadline. No excuses will be entertained.",nan,https://script.google.com/macros/s/AKfycbw71ovThB1x_h2mGHLakr7nITn2ZCZ96PD-ZBWED1KLrkrAkLM/exec
27,rapbattle,Solo,Rap Battle,PA,"Expressing ones feelings with their lyrics on crazy beats is what rapping is all about. So what are you waiting for, come take part and reveal your creative side here at Sattva'21","No vulgar words and sexually explicit lyrics will be allowed. Choice of Language – Hindi/English only. Judge’s decision will be final. Back Tracking/ One accompanist is allowed. No demands of the participant will be entertained. Performance time – 2-4 mins. While shooting, the video should be a one-shot video without any cuts. The participant should be visible in the camera frame throughout the video. Accompanist should not be seen in the video. Video editing is not allowed. The video should be sent to the Performing Arts team before the deadline. No excuses will be entertained.",nan,https://script.google.com/macros/s/AKfycbzSSrpFcK-A1o0MTmF_3vcOGHuJ3R7ErZbx5Hx3GQxzhwRfFBw/exec
26,westernsolo,Solo,Western Solo Dance,PA,"Dance is the hidden language of the soul! Dancing does not need any language to connect with others around you. If you know how to express yourself through dance, then this is the place for you! Sattva'21 provides a virtual platform to perform, for people to watch you and our jury to decide who's the best!","No vulgarity is allowed. Participants can have prop of their own choice. Judge’s decision will be final. Performance time – 2-4 mins. Costumes aren’t compulsory. While shooting, the video should be a one-shot video without any cuts and the camera should be kept at one single angle. Video editing is not allowed. The video should be sent to the Performing Arts team before the deadline. No excuses will be entertained.",nan,https://script.google.com/macros/s/AKfycbzSSrpFcK-A1o0MTmF_3vcOGHuJ3R7ErZbx5Hx3GQxzhwRfFBw/exec
25,classicaldance,Solo,Classical Solo Dance,PA,"Everything in the universe has it's own rhythm.Indian classical dance is sustained by a profound philosophy. Form seeks to merge with the formless, motions seek to become a part of the motionless, and the dancing individual seeks to become one with the eternal dance of the cosmos. Keeping our tradition alive, Sattva'21 presents Solo Classical Dance competition!","No vulgarity is allowed. Participants can have prop of their own choice. Judge’s decision will be final. Costumes aren’t compulsory. Performance time – 2-5 mins. Semi-classical is not allowed. While shooting, the video should be a one-shot video without any cuts and the camera should be kept at one single angle. Video editing is not allowed. The video should be sent to the Performing Arts team before the deadline. No excuses will be entertained.",nan,https://script.google.com/macros/s/AKfycbwEbrCG-3TfWREHGQr1gZjNKyhOu-NxbPEy8Fg__gk62U1zqdM/exec
24,shortfilms,Group,Short Films,PA,"Every short film story is a golden opportunity to showcase creativity. If you have an excellent calling for filmmaking or have a compelling story that you are burning to tell, come showcase your skills @Sattva'21. Introducing, for the first time ever in the history Sattva, a short film making competition for all those creative minds out there!","Three genres will be given. Participant must choose to make the short film from either of the three genres. Vulgarity, Obscenity and offensive content is strictly prohibited. Any type of cameras/film making instruments is allowed. Choice of Language – Hindi/English only. Judge’s decision will be final. No demands of the participants will be entertained. Video limit – 8-12 mins. The edited video should be sent to the Performing Arts team before the deadline. No excuses will be entertained.",nan,https://script.google.com/macros/s/AKfycbx8VvdsXO5qiEdUBPGquN_VPLgY82CUE-rGVETWdrS7rpPm6SqY/exec
23,advision,Group,AdVision,Management,"This will be a group event. Participants can register in groups of 2s or 3s 
This event will be a competition to create a minute long advertisement promoting a product given on the spot by the organisers !",none,nan,https://script.google.com/macros/s/AKfycbxhBop3QZlsIYHnBekid6X7ZY0hYRCL91GB_-f1VtTou2iU2OU/exec
22,turnaround,Solo,Turnaround,Management,Participants will be preparing a PowerPoint presentation involving a case study on the company that will be given to them prior to the event.,Special Permission Required for platform settings : Share their screens and switch on their cameras. Event Rounds : 2 rounds. First round : Short quiz top 10 will proceed to the second round. Second round : Finals,nan,https://script.google.com/macros/s/AKfycbzzcSBjWhCbD0ao7n_qoCPuF5gLHFdVUh8yZelTx42OfdDtZuAm/exec
